City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,kismayo,-0.3582,42.5454,27.48,79,62,3.12,SO,1682306958
308,cedar city,37.6775,-113.0619,6.7,93,100,8.23,US,1682306806
309,erenhot,43.6475,111.9767,13.17,36,100,7.82,CN,1682306958
310,rawson,-43.3002,-65.1023,15.69,61,99,0.77,AR,1682306959
311,whitehorse,60.7161,-135.0538,5.43,75,75,0.0,CA,1682306947
312,hay river,60.8156,-115.7999,0.99,80,75,2.57,CA,1682306959
313,chumikan,54.7183,135.315,3.72,48,94,5.58,RU,1682306959
314,aquiraz,-3.9014,-38.3911,26.05,82,92,3.58,BR,1682306960
315,geraldton,-28.7667,114.6,19.23,77,100,7.72,AU,1682306777
316,zhanakorgan,43.9098,67.2495,19.62,29,100,8.94,KZ,1682306960
317,lithakia,37.7167,20.8333,10.65,78,5,1.13,GR,1682306960
318,golspie,57.9727,-3.978,5.08,89,100,5.66,GB,1682306960
319,noumea,-22.2763,166.4572,27.99,77,46,4.09,NC,1682306663
320,aksarka,66.5606,67.7975,-6.96,82,100,6.83,RU,1682306960
321,taoudenni,22.6783,-3.9836,27.35,19,0,4.33,ML,1682306961
322,matamoros,25.5333,-103.25,29.06,14,20,2.06,MX,1682306961
323,zima,53.9202,102.0442,7.35,37,2,3.58,RU,1682306961
324,cidreira,-30.1811,-50.2056,21.14,83,100,6.58,BR,1682306961
325,wad madani,14.4012,33.5199,29.99,35,1,2.21,SD,1682306961
326,vagur,61.4732,-6.8119,2.85,62,100,11.04,FO,1682306961
327,kalmunai,7.4167,81.8167,29.61,70,100,2.89,LK,1682306962
328,xuddur,4.1213,43.8894,24.37,83,99,2.74,SO,1682306962
329,krasnyy chikoy,50.3643,108.7512,4.47,35,100,2.78,RU,1682306962
330,mercedes,-34.6515,-59.4307,14.92,75,100,2.98,AR,1682306962
331,ballina,-28.8667,153.5667,22.66,59,87,6.54,AU,1682306962
332,alice springs,-23.7,133.8833,26.75,26,16,7.2,AU,1682306963
333,san cristobal,7.7669,-72.225,18.1,96,90,1.3,VE,1682306963
334,waddan,29.1614,16.139,15.88,81,83,4.35,LY,1682306963
335,woodward,36.4337,-99.3904,9.57,40,0,4.12,US,1682306963
336,lagoa,39.05,-27.9833,16.32,90,100,4.99,PT,1682306963
337,camalu,30.85,-116.0667,14.24,81,4,1.74,MX,1682306964
338,honningsvag,70.9821,25.9704,-2.14,86,75,1.54,NO,1682306964
339,jiuquan,39.7432,98.5174,13.59,29,100,8.42,CN,1682306964
340,kinablangan,7.6947,126.5503,29.06,72,66,2.68,PH,1682306964
341,pyaozerskiy,65.8333,31.1667,-2.11,85,100,2.15,RU,1682306964
342,tura,25.5198,90.2201,28.51,40,6,0.21,IN,1682306965
343,pacific grove,36.6177,-121.9166,14.58,88,100,3.6,US,1682306819
344,katsuura,35.1333,140.3,11.09,67,100,6.6,JP,1682306965
345,moron,-34.6534,-58.6198,18.32,93,96,2.61,AR,1682306965
346,bure,10.7,37.0667,15.83,65,30,1.83,ET,1682306966
347,ndele,8.4109,20.6473,21.67,93,100,2.64,CF,1682306966
348,rurrenabaque,-14.4413,-67.5278,20.02,89,66,0.96,BO,1682306966
349,sibolga,1.7427,98.7792,30.2,66,90,0.9,ID,1682306966
350,ahuimanu,21.4447,-157.8378,26.84,73,75,4.12,US,1682306967
351,pangnirtung,66.1451,-65.7125,-0.6,86,100,2.5,CA,1682306967
352,shelburne,44.0787,-80.2041,3.2,95,63,2.65,CA,1682306967
353,fukue,32.6881,128.8419,17.2,51,100,4.63,JP,1682306967
354,sydney,-33.8679,151.2073,23.12,76,75,6.17,AU,1682306793
355,kafue,-15.7691,28.1814,17.41,72,68,1.22,ZM,1682306968
356,yar-sale,66.8333,70.8333,-5.33,94,100,10.71,RU,1682306968
357,gornopravdinsk,60.05,69.9,-1.43,71,85,5.92,RU,1682306968
358,young,-32.6833,-57.6333,15.25,69,86,3.77,UY,1682306968
359,kathu,7.9178,98.3332,31.5,99,92,3.43,TH,1682306968
360,jalu,29.0331,21.5482,22.23,29,0,5.16,LY,1682306968
361,iskateley,67.6803,53.1512,-6.82,91,23,7.01,RU,1682306969
362,guarapuava,-25.3953,-51.4581,11.06,91,0,1.97,BR,1682306969
363,fort nelson,58.8053,-122.7002,5.77,51,100,7.2,CA,1682306969
